Company Name,Ticker,Exchange,GICS Sector,GICS Industry Group,GICS Industry,GICS Sub-Industry
Advanced Micro Devices,AMD,Nasdaq,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
Amgen Inc,AMGN,Nasdaq,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology
Aemetis Inc,AMTX,Nasdaq,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing
Amazon.com Inc,AMZN,Nasdaq,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Distributors,Broadline Retail
ArcBest Corp,ARCB,Nasdaq,Industrials,Transportation,Ground Transportation,Cargo Ground Transportation
Broadcom Inc,AVGO,Nasdaq,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
Beacon Roofing Supply Inc,BECN,Nasdaq,Industrials,Capital Goods,Trading Companies & Distributors,Trading Companies & Distributors
Baidu Inc,BIDU,Nasdaq,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
China Automotive Systems Inc,CAAS,Nasdaq,Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment
Cheesecake Factory Inc,CAKE,Nasdaq,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants
Casey's General Stores Inc,CASY,Nasdaq,Consumer Staples,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,Food Retail
China Natural Resources Inc,CHNR,Nasdaq,Materials,Materials,Metals & Mining,Diversified Metals & Mining
Chargepoint Holdings,CHPT,Nasdaq,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipment
Comcast Corp,CMCSA,Nasdaq,Communication Services,Media & Entertainment,Media,Cable & Satellite
Costco Wholesale Corp,COST,Nasdaq,Consumer Staples,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,Consumer Staples Merchandise Retail
Catalyst Pharmaceuticals Inc,CPRX,Nasdaq,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology
CISCO Systems Inc,CSCO,Nasdaq,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment
Cognizant Technology Solutions Corp,CTSH,Nasdaq,Information Technology,Software & Services,IT Services,IT Consulting & Other Services
Caesars Entertainment Inc,CZR,Nasdaq,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming
Dropbox Inc,DBX,Nasdaq,Information Technology,Software & Services,Software,Application Software
Daily Journal Corp,DJCO,Nasdaq,Information Technology,Software & Services,Software,Application Software
Dollar Tree Inc,DLTR,Nasdaq,Consumer Staples,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,Consumer Staples Merchandise Retail
ETSY Inc,ETSY,Nasdaq,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Distributors,Broadline Retail
National Beverage Corp,FIZZ,Nasdaq,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Soft Drinks & Non-alcoholic Beverages
Fortinet Inc,FTNT,Nasdaq,Information Technology,Software & Services,Software,Systems Software
Glacier Bancorp Inc,GBCI,Nasdaq,Financials,Banks,Banks,Regional Banks
Great Elm Group Inc,GEG,Nasdaq,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks
Gilead Sciences Inc,GILD,Nasdaq,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology
Genmab A/S,GMAB,Nasdaq,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology
Gogo Inc,GOGO,Nasdaq,Communication Services,Telecommunication Services,Wireless Telecommunication Services,Wireless Telecommunication Services
Alphabet Inc,GOOGL,Nasdaq,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
Groupon Inc,GRPN,Nasdaq,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Distributors,Broadline Retail
Hasbro Inc,HAS,Nasdaq,Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,Leisure Products
Harvard Bioscience Inc,HBIO,Nasdaq,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Life Sciences Tools & Services,Life Sciences Tools & Services
Heartland Express Inc,HTLD,Nasdaq,Industrials,Transportation,Ground Transportation,Cargo Ground Transportation
Illumina Inc,ILMN,Nasdaq,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Life Sciences Tools & Services,Life Sciences Tools & Services
INTEL Corp,INTC,Nasdaq,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
Innospec Inc,IOSP,Nasdaq,Materials,Materials,Chemicals,Specialty Chemicals
JetBlue Airways Corp,JBLU,Nasdaq,Industrials,Transportation,Passenger Airlines,Passenger Airlines
J&J Snack Foods Corp,JJSF,Nasdaq,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
Kaiser Aluminum Corp,KALU,Nasdaq,Materials,Materials,Metals & Mining,Aluminum
Keurig Dr Pepper Inc,KDP,Nasdaq,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Soft Drinks & Non-alcoholic Beverages
Lands' End Inc,LE,Nasdaq,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Specialty Retail,Apparel Retail
Liquidia Corporation,LQDA,Nasdaq,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals
Lululemon Athletica Inc,LULU,Nasdaq,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods"
Lyft Inc,LYFT,Nasdaq,Industrials,Transportation,Ground Transportation,Passenger Ground Transportation
Manhattan Associates Inc,MANH,Nasdaq,Information Technology,Software & Services,Software,Application Software
Marriott International Inc,MAR,Nasdaq,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
Mattel Inc,MAT,Nasdaq,Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,Leisure Products
META  ,META,Nasdaq,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
Middelby Corp,MIDD,Nasdaq,Industrials,Capital Goods,Machinery,Industrial Machinery & Supplies & Components
Monster Beverage Corp,MNST,Nasdaq,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Soft Drinks & Non-alcoholic Beverages
Middlesex Water Co,MSEX,Nasdaq,Utilities,Utilities,Water Utilities,Water Utilities
Microsoft Corp,MSFT,Nasdaq,Information Technology,Software & Services,Software,Systems Software
Match Group Inc,MTCH,Nasdaq,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
Myriad Genetics Inc,MYGN,Nasdaq,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology
The9 Ltd,NCTY,Nasdaq,Information Technology,Software & Services,Software,Application Software
NETFLIX Inc,NFLX,Nasdaq,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
NetEase Inc,NTES,Nasdaq,Communication Services,Media & Entertainment,Entertainment,Interactive Home Entertainment
Northern Technologies International Corp,NTIC,Nasdaq,Materials,Materials,Chemicals,Specialty Chemicals
NVIDIA Corp,NVDA,Nasdaq,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
NXP Semiconductors NV,NXPI,Nasdaq,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
Old National Bancorp,ONB,Nasdaq,Financials,Banks,Banks,Regional Banks
O'Reilly Automotive Inc,ORLY,Nasdaq,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Specialty Retail,Automotive Retail
Bank OZK,OZK,Nasdaq,Financials,Banks,Banks,Regional Banks
PACCAR Inc,PCAR,Nasdaq,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy Transportation Equipment
PepsiCo Inc,PEP,Nasdaq,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Soft Drinks & Non-alcoholic Beverages
Peloton Interactive Inc,PTON,Nasdaq,Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,Leisure Products
PayPal Holdings Inc,PYPL,Nasdaq,Financials,Financial Services, Financial Services,Transaction & Payment Processing Services
Papa John's International Inc,PZZA,Nasdaq,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants
QUALCOMM Inc,QCOM,Nasdaq,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
Regeneron Pharmaceuticals Inc,REGN,Nasdaq,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology
Royal Gold Inc,RGLD,Nasdaq,Materials,Materials,Metals & Mining,Gold
Gibraltar Industries Inc,ROCK,Nasdaq,Industrials,Capital Goods,Building Products,Building Products
Baijiayun Group Ltd,RTC,Nasdaq,Information Technology,Software & Services,Software,Application Software
Starbucks Corp,SBUX,Nasdaq,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants
